"","KigC100","KigC1200","KigC150","KigC250","KigC300","KigCa35","KigCa65","KigCas0","KigOff0","KigOff120","KigOff40","KigOff80","KigOffSurface","MahC100","MahC200","MahC400","MahCa10","MahCa50","MahCa65","Mahsurface_10","Mahsurface_6","Mahsurface_7","Mahsurface_8","Mahsurface_9"
"Acidobacteria",7.40950169966667,10.365958084,7.64797345011111,5.56203982122222,6.77899459477778,5.30734818344444,27.3714898887778,6.50189450822222,4.24749349833333,36.854218409,6.66316910277778,49.2014929754444,4.26894335055556,9.42312663033333,6.311140496,8.03579196477778,5.808302622,30.632862945,21.5274189702222,4.40164032422222,2.31924382133333,2.96048785933333,4.92867440466667,3.86020163188889
"Actinobacteria (non ac or Iluma)",23.4445086318182,19.4723536923636,19.3658161668182,21.8376941530455,17.0252051010455,31.6042709838182,17.411966479,39.2203135040454,26.6137796867273,11.7536872285455,36.8625600258636,17.3083716294545,31.8824060395455,29.0463657771364,15.3368725946364,29.4119320769091,30.6430802142727,21.2154637288182,15.6530306562727,44.9508323075455,31.1143698749545,37.9775718468636,60.1052922545455,45.6219943425909
"Actinobacteria ac (not acI)",91.6078166329,80.7189923436,78.6989335706,98.6902555459,67.1942153353,163.7086051337,68.5777576001,192.4570960864,144.495289706,37.993267264,195.4603845335,68.1864614233,163.6092432936,144.3231390379,59.6682075821,137.9689257183,171.0202318885,85.9897633355,61.5822541789,241.6554475917,173.1521927974,203.9783523112,303.5395128516,248.1543481211
"Actinobacteria acI",80.2111086423333,61.8854478340833,60.9173375665,76.7921580164167,49.6597334939167,153.186038199,61.4872234320833,170.556526317,114.576717895417,49.9778757710833,197.480706595,60.6094842956667,155.113377309167,126.581716631,43.55499509425,99.0267807026667,124.182456697917,80.5361965286667,59.3278100688333,181.22291314075,167.101530787,174.726550368583,217.35247977,196.941015026917
"Actinobacteria Iluma",162.155252555,120.480442435,123.50442418,137.29000096,104.90028173,246.358097855,136.27899155,294.613937365,215.19091082,156.19778225,358.84083081,272.64648165,271.95149224,215.9206874,84.668666965,170.172002945,232.31442594,190.9052377,142.9464396,305.82304708,225.758045085,250.783672335,359.74005047,310.06365653
"Aenigmarchaeota",0.404801923,9.197101282,1.771205128,13.06918397,14.93481667,0.00070641,0.002403846,0.000273077,0.000122436,0.000828205,0,0,0,0.089510256,11.22954808,19.39280064,0,0.003210256,0.035105769,0.000289744,0,0.000338462,0.000447436,0
"Alphaproteobacteria (non LD12)",7.64225390918966,7.2950742917931,6.30568422101724,5.3680803052931,5.36909851398276,7.96718900632759,7.76556454987931,11.7911941711207,6.09104923168965,11.1746372767069,10.9923664914828,13.508338331931,10.0487780076552,9.53683793317241,5.04397419146552,7.31862402310345,7.31028951924138,10.5970606971724,9.97367177286207,10.1316662567759,6.60709064934483,8.10500176496552,9.11050522189655,10.2468269183793
"Alphaproteobacteria LD12",337.46316432,210.59120235,194.963707925,215.93456966,156.066666045,738.46546484,123.190571745,846.05796458,512.184522965,72.294463671,1253.873431675,134.917498416,882.161503725,503.137498005,167.85213207,239.955403605,413.06624195,171.16090149,90.5446699405,697.714090275,573.550366175,711.493752695,716.025737065,673.766976
"Altiarchaeota",0.83642093,3.901664651,3.46157814,7.867031163,6.553555814,0.001166047,0.005257209,0.000828837,5.35e-05,0.002939535,0.000749767,0.00014,0.000936744,0.162694884,10.98284977,7.814422326,0.000101395,5.26e-05,0.104957209,0.000275814,0.00089907,0.001576279,0.000584186,0.000686047
"Armatimonadetes",14.3776499794286,14.8280183902857,12.7755327238571,11.0395214761429,15.6887217768571,0.147691214571429,2.30239061457143,0.166032049285714,0.0517483601428571,3.65357344928571,0.0848897197142857,3.892515557,0.0639735612857143,4.48878054628571,12.6857404644286,16.4157704824286,0.147189913857143,2.92908416885714,3.31777221542857,0.0511034518571429,0.0382712907142857,0.0504956962857143,0.071897004,0.0463722662857143
"Bacteroidetes",28.0608332039773,15.6421452891136,19.1313029665455,19.15207061525,12.9573043215909,39.7146674485455,27.5506322481818,43.2914730394545,15.6271433658636,14.3788255073182,28.9922924936818,9.80772787013636,28.0381180634773,26.5065529613409,12.4626560436136,14.3292847341818,23.4290291302727,26.39715894275,21.3805290442045,39.8180483471364,39.2953656544318,38.2441508669091,37.462661387,61.4866017843182
"Bathyarchaeota",2.243183697,5.3356804615,3.997112249,8.6913364305,8.3801038735,0.004010037,0.0097892635,0.000308905,0.0003120915,0.0326309435,0.1213616755,0.076376913,0.0277799595,0.5107677575,8.6746246975,9.8530636775,0.0642890055,0.036116762,0.111838872,0.014785357,0.010972927,0.057636827,0.045419021,0.0306614615
